# idh: Índice de Desenvolvimento Humano (IDH) (2000);
# renda: Renda per capita (2000);
# anfab: Alfabetizados - pessoas 15 anos e mais (2000);
???Sigla;Código;Município;idh;renda;alfab;
MA;2105476;Jenipapo dos Vieiras;;54,414;49,505;
MA;2105500;João Lisboa;;94,185;67,968;
MA;2105609;Joselândia;;53,783;56,706;
MA;2105658;Junco do Maranhão;;61,429;62,002;
MA;2105708;Lago da Pedra;;97,202;59,603;
MA;2105807;Lago do Junco;;56,535;60;
MA;2105906;Lago Verde;;47,225;57,152;
MA;2105922;Lagoa do Mato;;48,459;59,323;
MA;2105948;Lago dos Rodrigues;;63,408;61,701;
MA;2105963;Lagoa Grande do Maranhão;;44,556;51,121;
MA;2105989;Lajeado Novo;;80,656;73,156;
MA;2106003;Lima Campos;;78,779;59,607;
MA;2106102;Loreto;;58,702;71,067;
MA;2106201;Luís Domingues;;75,201;74,926;
MA;2106300;Magalhães de Almeida;;48,469;59,619;
MA;2106326;Maracaçumé;;99,239;67,09;
MA;2106359;Marajá do Sena;;62,11;49,512;
MA;2106375;Maranhãozinho;;44,922;59,603;
MA;2106409;Mata Roma;;54,854;61,74;
MA;2106508;Matinha;;58,996;75,786;
MA;2106607;Matões;;59,415;55,365;
MA;2106631;Matões do Norte;;43,117;48,549;
MA;2106672;Milagres do Maranhão;;51,078;58,026;
MA;2106706;Mirador;;66,082;60,72;
MA;2106755;Miranda do Norte;;96,609;69,878;
MA;2106805;Mirinzal;;80,711;76,617;
MA;2106904;Monção;;66,964;63,636;
MA;2107001;Montes Altos;;75,492;73,103;
MA;2107100;Morros;;44,615;62,406;
MA;2107209;Nina Rodrigues;;47,431;61,595;
MA;2107258;Nova Colinas;;53,658;71,867;
MA;2107308;Nova Iorque;;74,073;63,018;
MA;2107357;Nova Olinda do Maranhão;;71,027;63,518;
MA;2107407;Olho d'Água das Cunhãs;;82,006;57,94;
MA;2107456;Olinda Nova do Maranhão;;54,957;70,925;
MA;2107506;Paço do Lumiar;;145,69;90,363;
MA;2107605;Palmeirândia;;53,345;67,518;
MA;2107704;Paraibano;;91,327;62,237;
MA;2107803;Parnarama;;49,608;55,3;
MA;2107902;Passagem Franca;;61,212;57,872;
MA;2108009;Pastos Bons;;68,061;67,75;
MA;2108058;Paulino Neves;;38,236;55,187;
MA;2108108;Paulo Ramos;;57,043;55,522;
MA;2108207;Pedreiras;;110,864;73,615;
MA;2108256;Pedro do Rosário;;44,484;59,969;
MA;2108306;Penalva;;59,758;71,142;
MA;2108405;Peri Mirim;;58,085;71,595;
MA;2108454;Peritoró;;61,688;54,816;
MA;2108504;Pindaré-Mirim;;85,17;72,475;
MA;2108603;Pinheiro;;84,412;76,053;
MA;2108702;Pio XII;;55,379;56,476;
MA;2108801;Pirapemas;;51,616;57,613;
MA;2108900;Poção de Pedras;;55,663;61,685;
MA;2109007;Porto Franco;;145,472;76,685;
MA;2109056;Porto Rico do Maranhão;;65,34;79,332;
MA;2109106;Presidente Dutra;;117,029;69,606;
MA;2109205;Presidente Juscelino;;38,905;56,708;
MA;2109239;Presidente Médici;;64;64,134;
MA;2109270;Presidente Sarney;;52,956;62,092;
MA;2109304;Presidente Vargas;;45,263;58,168;
MA;2109403;Primeira Cruz;;57,341;65,422;
MA;2109452;Raposa;;75,751;76,979;
MA;2109502;Riachão;;74,325;68,827;
MA;2109551;Ribamar Fiquene;;85,802;73,033;
MA;2109601;Rosário;;69,702;74,552;
MA;2109700;Sambaíba;;63,081;70,194;
MA;2109759;Santa Filomena do Maranhão;;59,325;55,85;
MA;2109809;Santa Helena;;85,381;70,915;
MA;2109908;Santa Inês;;125,236;75,568;
MA;2110005;Santa Luzia;;65,907;57,163;
MA;2110039;Santa Luzia do Paruá;;60,147;65,164;
MA;2110104;Santa Quitéria do Maranhão;;64,007;60,568;
MA;2110203;Santa Rita;;67,031;67,352;
MA;2110237;Santana do Maranhão;;38,412;49,165;
MA;2110278;Santo Amaro do Maranhão;;35,13;63,253;
MA;2110302;Santo Antônio dos Lopes;;70,486;60,929;
MA;2110401;São Benedito do Rio Preto;;39,946;59,804;
MA;2110500;São Bento;;66,887;72,437;
MA;2110609;São Bernardo;;47,601;61,511;
MA;2110658;São Domingos do Azeitão;;66,651;69,255;
MA;2110708;São Domingos do Maranhão;;90,625;62,87;
MA;2110807;São Félix de Balsas;;66,421;67,435;
MA;2110856;São Francisco do Brejão;;91,603;72,911;
MA;2110906;São Francisco do Maranhão;;50,573;56,089;
MA;2111003;São João Batista;;72,919;69,614;
MA;2111029;São João do Carú;;52,233;47,08;
MA;2111052;São João do Paraíso;;82,294;77,988;
MA;2111078;São João do Soter;;50,213;51,429;
MA;2111102;São João dos Patos;;99,433;72,018;
MA;2111201;São José de Ribamar;;129,586;87,086;
MA;2111250;São José dos Basílios;;61,352;61,193;
MA;2111300;São Luís;;252,134;92,692;
MA;2111409;São Luís Gonzaga do Maranhão;;49,884;59,161;
MA;2111508;São Mateus do Maranhão;;77,168;62,997;
MA;2111532;São Pedro da Água Branca;;89,21;62,66;
MA;2111573;São Pedro dos Crentes;;61,537;77,559;
MA;2111607;São Raimundo das Mangabeiras;;102,456;72,655;
MA;2111631;São Raimundo do Doca Bezerra;;47,936;58,507;
MA;2111672;São Roberto;;40,386;55,345;
MA;2111706;São Vicente Ferrer;;56,575;64,838;
MA;2111722;Satubinha;;47,108;53,012;
MA;2111748;Senador Alexandre Costa;;65,033;54,16;
MA;2111763;Senador La Rocque;;65,371;61,304;
MA;2111789;Serrano do Maranhão;;46,933;65,939;
MA;2111805;Sítio Novo;;75,798;72,871;
MA;2111904;Sucupira do Norte;;57,366;70,597;
MA;2111953;Sucupira do Riachão;;68,058;63,482;
MA;2112001;Tasso Fragoso;;69,607;76,24;
MA;2112100;Timbiras;;51,451;51,973;
MA;2112209;Timon;;104,172;74,882;
MA;2112233;Trizidela do Vale;;82,941;68,393;
MA;2112274;Tufilândia;;46,085;57,589;
MA;2112308;Tuntum;;64,215;62,302;
MA;2112407;Turiaçu;;53,546;67,476;
MA;2112456;Turilândia;;50,255;58,88;
MA;2112506;Tutóia;;59,091;60,514;
MA;2112605;Urbano Santos;;47,4;62,289;
MA;2112704;Vargem Grande;;51,617;53,735;
MA;2112803;Viana;;74,606;77,238;
MA;2112852;Vila Nova dos Martírios;;76,811;63,862;
MA;2112902;Vitória do Mearim;;82,224;67,634;
MA;2113009;Vitorino Freire;;83,357;60,081;
MA;2114007;Zé Doca;;77,081;65,244;
MG;3100104;Abadia dos Dourados;;196,364;86,579;
MG;3100203;Abaeté;;253,675;87,554;
MG;3100302;Abre Campo;;161,482;83,719;
MG;3100401;Acaiaca;;136,199;81,03;
MG;3100500;Açucena;;90,491;73,99;
MG;3100609;Água Boa;;119,872;62,569;
MG;3100708;Água Comprida;;266,455;90,164;
MG;3100807;Aguanil;;196,553;82,038;
MG;3100906;Águas Formosas;;114,598;68,145;
MG;3101003;Águas Vermelhas;;92,925;64,932;
MG;3101102;Aimorés;;179,091;80,307;
MG;3101201;Aiuruoca;;207,119;82,852;
MG;3101300;Alagoa;;157,728;82,836;
MG;3101409;Albertina;;214,701;83,865;
MG;3101508;Além Paraíba;;294,336;90,625;
MG;3101607;Alfenas;;357,093;91,469;
MG;3101631;Alfredo Vasconcelos;;144,491;84,072;
MG;3101706;Almenara;;162,671;69,336;
MG;3101805;Alpercata;;148,053;78,119;
MG;3101904;Alpinópolis;;239,828;89,379;
MG;3102001;Alterosa;;197,739;85,478;
MG;3102050;Alto Caparaó;;264,043;82,778;
MG;3102100;Alto Rio Doce;;123,953;81,047;
MG;3102209;Alvarenga;;115,341;75,184;
MG;3102308;Alvinópolis;;161,205;85,118;
MG;3102407;Alvorada de Minas;;99,621;71,9;
MG;3102506;Amparo do Serra;;117,934;77,495;
MG;3102605;Andradas;;360,229;87,92;
MG;3102704;Cachoeira de Pajeú;;76,368;65,772;
MG;3102803;Andrelândia;;207,207;85,702;
MG;3102852;Angelândia;;127,059;66,567;
MG;3102902;Antônio Carlos;;167,888;84,498;
MG;3103009;Antônio Dias;;118,189;77,516;
MG;3103108;Antônio Prado de Minas;;201,187;86,9;
MG;3103207;Araçaí;;172,985;90,986;
MG;3103306;Aracitaba;;139,753;80,349;
MG;3103405;Araçuaí;;131,707;76,344;
MG;3103504;Araguari;;321,881;93,134;
MG;3103603;Arantina;;157,17;84,893;
MG;3103702;Araponga;;96,463;71,543;
MG;3103751;Araporã;;259,871;88,29;
MG;3103801;Arapuá;;260,287;87,037;
MG;3103900;Araújos;;213,558;86,984;
MG;3104007;Araxá;;337,693;92,921;
MG;3104106;Arceburgo;;230,09;86,436;
MG;3104205;Arcos;;265,886;92,354;
MG;3104304;Areado;;279,772;87,806;
MG;3104403;Argirita;;171,654;86,207;
MG;3104452;Aricanduva;;80,072;69,857;
MG;3104502;Arinos;;122,712;78,29;
MG;3104601;Astolfo Dutra;;218,598;88,267;
MG;3104700;Ataléia;;111,817;67,333;
MG;3104809;Augusto de Lima;;135,301;81,343;
MG;3104908;Baependi;;196,156;85,087;
MG;3105004;Baldim;;156,797;86,345;
MG;3105103;Bambuí;;246,065;88,132;
MG;3105202;Bandeira;;86,905;62,009;
MG;3105301;Bandeira do Sul;;248,791;87,564;
MG;3105400;Barão de Cocais;;174,103;90,673;
MG;3105509;Barão de Monte Alto;;133,561;80,054;
MG;3105608;Barbacena;;284,79;91,471;
MG;3105707;Barra Longa;;118,592;83,291;
MG;3105905;Barroso;;187,2;91,436;
MG;3106002;Bela Vista de Minas;;162,724;89,925;
MG;3106101;Belmiro Braga;;158,016;84,504;
MG;3106200;Belo Horizonte;;557,435;95,375;
MG;3106309;Belo Oriente;;137,201;82,74;
MG;3106408;Belo Vale;;156,951;88,442;
MG;3106507;Berilo;;92,268;73,113;
MG;3106606;Bertópolis;;89,754;63,937;
MG;3106655;Berizal;;74,266;67,895;
MG;3106705;Betim;;203,22;91,446;
MG;3106804;Bias Fortes;;110,441;81,681;
MG;3106903;Bicas;;326,416;91,52;
MG;3107000;Biquinhas;;176,927;83,326;
MG;3107109;Boa Esperança;;278,857;88,137;
MG;3107208;Bocaina de Minas;;179,619;77,239;
MG;3107307;Bocaiúva;;143,803;82,306;
MG;3107406;Bom Despacho;;307,222;90,587;
MG;3107505;Bom Jardim de Minas;;171,382;87,525;
MG;3107604;Bom Jesus da Penha;;290,829;86,79;
MG;3107703;Bom Jesus do Amparo;;157,529;82,467;
MG;3107802;Bom Jesus do Galho;;110,582;77,766;
MG;3107901;Bom Repouso;;234,028;83,469;
MG;3108008;Bom Sucesso;;208,711;83,385;
MG;3108107;Bonfim;;154,138;85,856;
MG;3108206;Bonfinópolis de Minas;;176,392;83,402;
MG;3108255;Bonito de Minas;;49,124;62,086;
MG;3108305;Borda da Mata;;276,63;89,477;
MG;3108404;Botelhos;;337,969;86,904;
MG;3108503;Botumirim;;72,947;77,115;
MG;3108552;Brasilândia de Minas;;184,408;84,061;
MG;3108602;Brasília de Minas;;114,246;77,096;
MG;3108701;Brás Pires;;106,1;85,71;
MG;3108800;Braúnas;;100,355;75,766;
MG;3108909;Brasópolis;;230,704;86,325;
MG;3109006;Brumadinho;;274,099;89,911;
MG;3109105;Bueno Brandão;;236,087;85,638;
MG;3109204;Buenópolis;;149,072;77,38;
MG;3109253;Bugre;;99,795;73,101;
MG;3109303;Buritis;;239,105;79,44;
MG;3109402;Buritizeiro;;104,027;79,363;
MG;3109451;Cabeceira Grande;;173,97;79,132;
MG;3109501;Cabo Verde;;327,725;85,783;
MG;3109600;Cachoeira da Prata;;230,646;94,188;
MG;3109709;Cachoeira de Minas;;200,458;88,912;
MG;3109808;Cachoeira Dourada;;212,197;79,846;
MG;3109907;Caetanópolis;;229,743;91,669;
MG;3110004;Caeté;;259,173;91,538;
MG;3110103;Caiana;;187,938;79,683;
MG;3110202;Cajuri;;140,81;83,543;
MG;3110301;Caldas;;263,772;88,149;
MG;3110400;Camacho;;121,623;78,686;
MG;3110509;Camanducaia;;256,033;85,154;
MG;3110608;Cambuí;;256,496;88,589;
MG;3110707;Cambuquira;;262,874;86,35;
MG;3110806;Campanário;;133,441;76,617;
MG;3110905;Campanha;;278,716;87,949;
MG;3111002;Campestre;;230,234;88,039;
MG;3111101;Campina Verde;;266,255;87,958;
MG;3111150;Campo Azul;;77,914;74,199;
MG;3111200;Campo Belo;;243,791;88,18;
MG;3111309;Campo do Meio;;199,192;85,706;
MG;3111408;Campo Florido;;234,007;86,718;
MG;3111507;Campos Altos;;250,904;87,03;
MG;3111606;Campos Gerais;;208,969;85,258;
MG;3111705;Canaã;;124,537;79,09;
MG;3111804;Canápolis;;199,654;85,19;
MG;3111903;Cana Verde;;190,346;83,72;
MG;3112000;Candeias;;208,475;80,745;
MG;3112059;Cantagalo;;105,007;77,778;
MG;3112109;Caparaó;;184,716;77,592;
MG;3112208;Capela Nova;;117,53;85,585;
MG;3112307;Capelinha;;144,834;73,297;
MG;3112406;Capetinga;;229,55;85,281;
MG;3112505;Capim Branco;;180,104;89,289;
MG;3112604;Capinópolis;;238,841;83,046;
MG;3112653;Capitão Andrade;;122,45;73,248;
MG;3112703;Capitão Enéas;;101,682;72,975;
MG;3112802;Capitólio;;252,491;89,246;
MG;3112901;Caputira;;176,028;83,19;
MG;3113008;Caraí;;84,128;65,326;
MG;3113107;Caranaíba;;107,648;85,281;
MG;3113206;Carandaí;;157,873;90,083;
MG;3113305;Carangola;;319,849;86,491;
MG;3113404;Caratinga;;242,418;86,132;
MG;3113503;Carbonita;;112,231;73,812;
MG;3113602;Careaçu;;229,387;85,24;
MG;3113701;Carlos Chagas;;164,227;71,311;
MG;3113800;Carmésia;;123,339;79,164;
MG;3113909;Carmo da Cachoeira;;199,855;83,895;
MG;3114006;Carmo da Mata;;232,655;87,896;
MG;3114105;Carmo de Minas;;196,85;85,162;
MG;3114204;Carmo do Cajuru;;194,857;90,342;
MG;3114303;Carmo do Paranaíba;;277,908;88,526;
MG;3114402;Carmo do Rio Claro;;215,094;88,041;
MG;3114501;Carmópolis de Minas;;208,792;87,956;
MG;3114550;Carneirinho;;248,51;81,445;
MG;3114600;Carrancas;;182,702;87,841;
MG;3114709;Carvalhópolis;;199,26;89,649;
MG;3114808;Carvalhos;;146,162;81,187;
MG;3114907;Casa Grande;;142,277;88,4;
MG;3115003;Cascalho Rico;;233,538;92,441;
MG;3115102;Cássia;;257,328;86,078;
MG;3115201;Conceição da Barra de Minas;;132,895;89,019;
MG;3115300;Cataguases;;254,736;91,975;
MG;3115359;Catas Altas;;157,139;85,899;
MG;3115409;Catas Altas da Noruega;;91,774;82,979;
MG;3115458;Catuji;;82,695;64,609;
MG;3115474;Catuti;;66,725;62,538;
MG;3115508;Caxambu;;266,202;92,107;
MG;3115607;Cedro do Abaeté;;173,063;81,779;
MG;3115706;Central de Minas;;152,529;74,315;
MG;3115805;Centralina;;301,663;83,569;
MG;3115904;Chácara;;180,548;84,108;
MG;3116001;Chalé;;154,777;79,512;
MG;3116100;Chapada do Norte;;88,894;65,225;
MG;3116159;Chapada Gaúcha;;110,149;74,647;
MG;3116209;Chiador;;166,844;81,599;
MG;3116308;Cipotânea;;88,787;79,279;
MG;3116407;Claraval;;191,609;86,347;
MG;3116506;Claro dos Poções;;107,696;79,407;
MG;3116605;Cláudio;;205,052;91,935;
MG;3116704;Coimbra;;178,196;87,428;
MG;3116803;Coluna;;108,29;71,051;
MG;3116902;Comendador Gomes;;313,828;89,377;
MG;3117009;Comercinho;;61,543;69,54;
MG;3117108;Conceição da Aparecida;;298,152;88,49;
MG;3117207;Conceição das Pedras;;170,875;87,456;
MG;3117306;Conceição das Alagoas;;283,139;86,54;
MG;3117405;Conceição de Ipanema;;159,832;76,42;
MG;3117504;Conceição do Mato Dentro;;111,362;74,594;
MG;3117603;Conceição do Pará;;162,989;87,644;
MG;3117702;Conceição do Rio Verde;;237,59;82,51;
MG;3117801;Conceição dos Ouros;;210,594;88,115;
MG;3117836;Cônego Marinho;;58,312;70,369;
MG;3117876;Confins;;192,051;90,618;
MG;3117900;Congonhal;;205,067;85,932;
MG;3118007;Congonhas;;221,568;93,11;
MG;3118106;Congonhas do Norte;;102,366;70,085;
MG;3118205;Conquista;;268,831;87,754;
MG;3118304;Conselheiro Lafaiete;;258,213;94,548;
MG;3118403;Conselheiro Pena;;208,678;79,22;
MG;3118502;Consolação;;145,459;80,562;
MG;3118601;Contagem;;280,594;94,384;
MG;3118700;Coqueiral;;197,574;87,876;
MG;3118809;Coração de Jesus;;116,084;76,788;
MG;3118908;Cordisburgo;;176,063;86,32;
MG;3119005;Cordislândia;;172,663;84,067;
MG;3119104;Corinto;;191,807;86,689;
MG;3119203;Coroaci;;138,928;80,855;
MG;3119302;Coromandel;;250,122;88,766;
MG;3119401;Coronel Fabriciano;;259,227;91,249;
MG;3119500;Coronel Murta;;95,053;76,238;
MG;3119609;Coronel Pacheco;;184,152;84,043;
MG;3119708;Coronel Xavier Chaves;;149,752;90,856;
MG;3119807;Córrego Danta;;218,559;86,004;
MG;3119906;Córrego do Bom Jesus;;179,83;85,928;
MG;3119955;Córrego Fundo;;169,818;88,144;
MG;3120003;Córrego Novo;;117,659;74,874;
MG;3120102;Couto de Magalhães de Minas;;133,196;83,403;
MG;3120151;Crisólita;;90,538;57,917;
MG;3120201;Cristais;;235,582;85,773;
MG;3120300;Cristália;;69,131;70,113;
MG;3120409;Cristiano Otoni;;155,159;90,595;
MG;3120508;Cristina;;171,743;85,586;
MG;3120607;Crucilândia;;161,498;81,882;
MG;3120706;Cruzeiro da Fortaleza;;259,653;92,317;
MG;3120805;Cruzília;;189,566;87,968;
MG;3120839;Cuparaque;;145,463;74,096;
MG;3120870;Curral de Dentro;;85,295;67,741;
MG;3120904;Curvelo;;210,154;88,433;
MG;3121001;Datas;;103,567;86,738;
MG;3121100;Delfim Moreira;;163,595;87,111;
MG;3121209;Delfinópolis;;208,195;83,492;
MG;3121258;Delta;;210,888;83,773;
MG;3121308;Descoberto;;178,536;85,518;
MG;3121407;Desterro de Entre Rios;;114,356;82,479;
MG;3121506;Desterro do Melo;;115,426;76,541;
MG;3121605;Diamantina;;213,021;86,159;
MG;3121704;Diogo de Vasconcelos;;86,628;74,413;
MG;3121803;Dionísio;;123,49;84,518;
MG;3121902;Divinésia;;151,963;84,185;
MG;3122009;Divino;;156,363;79,632;
MG;3122108;Divino das Laranjeiras;;178,908;75,412;
MG;3122207;Divinolândia de Minas;;119,483;81,885;
MG;3122306;Divinópolis;;327,642;94,218;
MG;3122355;Divisa Alegre;;109,207;69,053;
MG;3122405;Divisa Nova;;201,734;83,117;
MG;3122454;Divisópolis;;97,507;62,428;
MG;3122470;Dom Bosco;;162,067;85,218;
MG;3122504;Dom Cavati;;188,438;84,328;
MG;3122603;Dom Joaquim;;116,365;73,461;
MG;3122702;Dom Silvério;;176,626;88,79;
MG;3122801;Dom Viçoso;;144,289;84,484;
MG;3122900;Dona Eusébia;;190,766;87,784;
MG;3123007;Dores de Campos;;188,521;90,763;
MG;3123106;Dores de Guanhães;;109,827;73,477;
MG;3123205;Dores do Indaiá;;239,371;85,891;
MG;3123304;Dores do Turvo;;136,579;79,5;
MG;3123403;Doresópolis;;202,103;88,802;
MG;3123502;Douradoquara;;244,089;87,406;
MG;3123528;Durandé;;167,552;78,141;
MG;3123601;Elói Mendes;;271,991;85,571;
MG;3123700;Engenheiro Caldas;;137,062;75,56;
MG;3123809;Engenheiro Navarro;;97,938;73,44;
MG;3123858;Entre Folhas;;130,556;84,071;
MG;3123908;Entre Rios de Minas;;182,622;88,376;
MG;3124005;Ervália;;169,055;78,69;
MG;3124104;Esmeraldas;;184,522;88,107;
MG;3124203;Espera Feliz;;178,836;81,03;
MG;3124302;Espinosa;;107,61;70,197;
MG;3124401;Espírito Santo do Dourado;;203,163;83,839;
MG;3124500;Estiva;;238,633;84,228;
MG;3124609;Estrela Dalva;;201,921;81,884;
MG;3124708;Estrela do Indaiá;;214,072;84,52;
MG;3124807;Estrela do Sul;;172,545;85,476;
MG;3124906;Eugenópolis;;205,781;83,345;
MG;3125002;Ewbank da Câmara;;168,238;87,324;
MG;3125101;Extrema;;277,579;89,673;
MG;3125200;Fama;;260,852;88,205;
MG;3125309;Faria Lemos;;187,503;81,588;
MG;3125408;Felício dos Santos;;79,651;76,451;
MG;3125507;São Gonçalo do Rio Preto;;119,513;74,274;
MG;3125606;Felisburgo;;100,212;63,838;
MG;3125705;Felixlândia;;150,257;84,603;
MG;3125804;Fernandes Tourinho;;121,737;74,523;
MG;3125903;Ferros;;111,158;74,385;
MG;3125952;Fervedouro;;136,192;77,833;
MG;3126000;Florestal;;226,601;90,858;
MG;3126109;Formiga;;254,875;90,795;
MG;3126208;Formoso;;150,976;72,162;
MG;3126307;Fortaleza de Minas;;191,971;85,241;
MG;3126406;Fortuna de Minas;;170,084;87,769;
MG;3126505;Francisco Badaró;;87,188;68,429;
MG;3126604;Francisco Dumont;;104,327;75,679;
MG;3126703;Francisco Sá;;102,183;71,743;
MG;3126752;Franciscópolis;;71,099;63,602;
MG;3126802;Frei Gaspar;;83,945;64,808;
MG;3126901;Frei Inocêncio;;149,642;78,015;
MG;3126950;Frei Lagonegro;;76,588;71,103;
MG;3127008;Fronteira;;262,625;88,971;
MG;3127057;Fronteira dos Vales;;70,911;59,287;
MG;3127073;Fruta de Leite;;55,764;55,207;
MG;3127107;Frutal;;300,688;90,929;
MG;3127206;Funilândia;;161,329;84,385;
MG;3127305;Galiléia;;152,301;77,354;
MG;3127339;Gameleiras;;66,449;64,741;
MG;3127354;Glaucilândia;;103,734;82,764;
MG;3127370;Goiabeira;;134,3;72,399;
MG;3127388;Goianá;;198,554;87,802;
MG;3127404;Gonçalves;;199,555;84,175;
MG;3127503;Gonzaga;;81,687;74,033;
MG;3127602;Gouveia;;145,405;87,12;
MG;3127701;Governador Valadares;;309,176;89,527;
MG;3127800;Grão Mogol;;98,239;70,968;
MG;3127909;Grupiara;;198,109;89,101;
MG;3128006;Guanhães;;168,085;83,425;
MG;3128105;Guapé;;190,879;88,106;
MG;3128204;Guaraciaba;;115,506;77,074;
MG;3128253;Guaraciama;;101,137;77,425;
MG;3128303;Guaranésia;;267,443;86,145;
MG;3128402;Guarani;;190,251;85,278;
MG;3128501;Guarará;;210,896;87,368;
MG;3128600;Guarda-Mor;;224,841;86,022;
MG;3128709;Guaxupé;;300,724;89,893;
MG;3128808;Guidoval;;202,61;84,299;
MG;3128907;Guimarânia;;234,115;89,834;
MG;3129004;Guiricema;;143,813;82,802;
MG;3129103;Gurinhatã;;224,085;85,969;
MG;3129202;Heliodora;;197,086;81,252;
MG;3129301;Iapu;;130,872;79,229;
MG;3129400;Ibertioga;;134,808;81,585;
MG;3129509;Ibiá;;385,447;89,97;
MG;3129608;Ibiaí;;89,511;75,444;
MG;3129657;Ibiracatu;;61,927;63,806;
MG;3129707;Ibiraci;;245,98;84,463;
MG;3129806;Ibirité;;149,587;90,736;
MG;3129905;Ibitiúra de Minas;;253,74;85,847;
MG;3130002;Ibituruna;;178,593;85,789;
MG;3130051;Icaraí de Minas;;66,945;73,152;
MG;3130101;Igarapé;;198,591;88,071;
MG;3130200;Igaratinga;;192,539;88,718;
MG;3130309;Iguatama;;260,733;90,684;
MG;3130408;Ijaci;;176,871;87,012;
MG;3130507;Ilicínea;;229,24;84,953;
MG;3130556;Imbé de Minas;;122,961;77,297;
MG;3130606;Inconfidentes;;253,051;87,152;
MG;3130655;Indaiabira;;74,029;60,097;
MG;3130705;Indianópolis;;232,651;87,061;
MG;3130804;Ingaí;;225,336;88,226;
MG;3130903;Inhapim;;150,618;79,169;
MG;3131000;Inhaúma;;169,425;88,258;
MG;3131109;Inimutaba;;124,778;82,883;
MG;3131158;Ipaba;;125,753;81,822;
MG;3131208;Ipanema;;173,394;80,942;
MG;3131307;Ipatinga;;307,705;92,902;
MG;3131406;Ipiaçu;;239,911;82,003;
MG;3131505;Ipuiúna;;318,499;86,132;
MG;3131604;Iraí de Minas;;227,38;87,34;
MG;3131703;Itabira;;264,521;90,349;
MG;3131802;Itabirinha de Mantena;;154,315;74,51;
MG;3131901;Itabirito;;252,178;93,983;
MG;3132008;Itacambira;;70,826;77,767;
MG;3132107;Itacarambi;;93,12;74,321;
MG;3132206;Itaguara;;207,902;88,432;
MG;3132305;Itaipé;;100,387;63,398;
MG;3132404;Itajubá;;353,347;94,159;
MG;3132503;Itamarandiba;;109,162;72,487;
MG;3132602;Itamarati de Minas;;194,669;86,84;
MG;3132701;Itambacuri;;152,956;71,312;
MG;3132800;Itambé do Mato Dentro;;109,238;76,433;
MG;3132909;Itamogi;;235,027;87,803;
MG;3133006;Itamonte;;236,18;90,14;
MG;3133105;Itanhandu;;306,523;92,65;
MG;3133204;Itanhomi;;138,703;76,09;
MG;3133303;Itaobim;;122,372;73,274;
MG;3133402;Itapagipe;;247,624;89,741;
MG;3133501;Itapecerica;;223,923;85,724;
MG;3133600;Itapeva;;216,885;84,345;
MG;3133709;Itatiaiuçu;;168,466;85,282;
MG;3133758;Itaú de Minas;;264,854;92,989;
MG;3133808;Itaúna;;315,49;92,949;
MG;3133907;Itaverava;;88,119;82,296;
MG;3134004;Itinga;;67,357;68,984;
MG;3134103;Itueta;;156,441;79,511;
MG;3134202;Ituiutaba;;305,854;88,66;
MG;3134301;Itumirim;;189,154;88,184;
MG;3134400;Iturama;;336,409;87,667;
MG;3134509;Itutinga;;193,387;88,941;
MG;3134608;Jaboticatubas;;184,332;83,509;
MG;3134707;Jacinto;;93,116;67,301;
MG;3134806;Jacuí;;201,045;85,693;
MG;3134905;Jacutinga;;369,781;88,17;
MG;3135001;Jaguaraçu;;149,309;85,979;
MG;3135050;Jaíba;;110,732;73,641;
MG;3135076;Jampruca;;99,658;69,585;
MG;3135100;Janaúba;;154,06;80,236;
MG;3135209;Januária;;117,155;77,95;
MG;3135308;Japaraíba;;210,058;90,073;
MG;3135357;Japonvar;;61,093;66,381;
MG;3135407;Jeceaba;;146,779;88,845;
MG;3135456;Jenipapo de Minas;;84,597;64,644;
MG;3135506;Jequeri;;107,3;76,11;
MG;3135605;Jequitaí;;107,317;76,261;
MG;3135704;Jequitibá;;143,433;83,17;
MG;3135803;Jequitinhonha;;118,728;66,318;
MG;3135902;Jesuânia;;189,909;83,812;
MG;3136009;Joaíma;;116,696;64,493;
MG;3136108;Joanésia;;115,7;78,642;
MG;3136207;João Monlevade;;240,896;94,136;
MG;3136306;João Pinheiro;;191,011;84,267;
MG;3136405;Joaquim Felício;;130,613;76,685;
MG;3136504;Jordânia;;104,563;69,843;
MG;3136520;José Gonçalves de Minas;;95,14;70,306;
MG;3136553;José Raydan;;101,355;68,377;
MG;3136579;Josenópolis;;66,147;59,377;
MG;3136603;Nova União;;153,319;82,519;
MG;3136652;Juatuba;;186,99;88,402;
MG;3136702;Juiz de Fora;;419,397;95,295;
MG;3136801;Juramento;;102,901;79,682;
MG;3136900;Juruaia;;235,921;87,439;
MG;3136959;Juvenília;;67,065;71,186;
MG;3137007;Ladainha;;72,036;60,559;
MG;3137106;Lagamar;;195,716;87,566;
MG;3137205;Lagoa da Prata;;251,552;90,723;
MG;3137304;Lagoa dos Patos;;87,985;78,127;
MG;3137403;Lagoa Dourada;;155,22;92,009;
MG;3137502;Lagoa Formosa;;210,514;86,652;
MG;3137536;Lagoa Grande;;193,707;85,409;
MG;3137601;Lagoa Santa;;291,751;92,14;
MG;3137700;Lajinha;;173,239;78,877;
MG;3137809;Lambari;;277,613;90,439;
MG;3137908;Lamim;;121,034;84,58;
MG;3138005;Laranjal;;199,129;85,893;
MG;3138104;Lassance;;107,119;78,978;
MG;3138203;Lavras;;347,092;94;
